frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
123,4.920000,0.360000,7728.920,403.201,631.975,17.390,8781.486,0.000,222241,12129,11467,662
124,4.960000,0.346667,6757.484,419.530,612.530,17.418,7806.962,0.000,205902,11540,10874,666
125,5.000000,0.333333,6517.739,379.587,541.037,14.278,7452.641,0.000,195276,11086,10446,640
126,5.040000,0.320000,4584.517,373.647,461.988,13.951,5434.103,0.000,188455,11143,10401,742
127,5.080000,0.306667,3061.463,368.433,395.838,17.476,3843.210,0.000,179356,11005,10307,698
128,5.120000,0.293333,2516.270,364.584,415.896,13.938,3310.688,0.000,169328,10751,9897,854
129,5.160000,0.280000,2586.390,370.742,460.879,15.490,3433.501,0.000,166048,10606,9624,982
130,5.200000,0.266667,2716.016,477.169,482.921,14.236,3690.342,0.000,163846,10608,9724,884
131,5.240000,0.253333,2522.992,350.719,426.043,13.918,3313.672,0.000,161286,10727,9680,1047
132,5.280000,0.240000,2351.683,352.059,401.814,13.934,3119.490,0.000,157901,10582,9524,1058
133,5.320000,0.226667,2345.517,347.535,383.247,15.282,3091.581,0.000,151976,10457,9537,920
134,5.360000,0.213333,2724.086,394.202,400.956,18.648,3537.892,0.000,151647,10363,9393,970
135,5.400000,0.200000,2773.619,433.425,484.287,13.963,3705.294,0.000,145006,10270,9298,972
136,5.440000,0.186667,2603.825,406.516,412.150,16.949,3439.440,0.000,140994,10292,9394,898
137,5.480000,0.173333,2437.291,335.306,361.980,13.887,3148.464,0.000,134180,10158,9250,908
138,5.520000,0.160000,2594.611,345.409,360.370,13.958,3314.348,0.000,134787,10009,9116,893
139,5.560000,0.146667,2301.947,327.132,327.451,13.960,2970.490,0.000,125205,9877,8911,966
140,5.600000,0.133333,2293.323,324.423,331.539,14.010,2963.295,0.000,126414,9607,8654,953
141,5.640000,0.120000,2364.499,319.709,327.874,17.410,3029.492,0.000,119311,9428,8460,968
142,5.680000,0.106667,2501.233,395.069,362.273,17.978,3276.553,0.000,112341,9174,8240,934
143,5.720000,0.093333,2590.907,347.865,308.075,13.902,3260.749,0.000,113920,9115,8161,954
144,5.760000,0.080000,2251.282,307.789,293.657,13.955,2866.683,0.000,108535,8987,8007,980
145,5.800000,0.066667,2243.918,310.168,277.045,13.911,2845.042,0.000,103129,8785,7885,900
146,5.840000,0.053333,2232.075,313.479,279.494,15.561,2840.609,0.000,102253,8700,7701,999
147,5.880000,0.040000,2444.490,314.962,283.146,13.883,3056.481,0.000,99134,8553,7564,989
148,5.920000,0.026667,2750.960,397.254,291.645,15.904,3455.763,0.000,98116,8623,7647,976
149,5.960000,0.013333,2326.029,309.175,260.691,13.946,2909.841,0.000,97954,8676,7628,1048
